product_id,product_name,product_category,product_desc,product_cost,product_image
1,Wax Dipped Stuffed Bear - custom gift - unique gift - handcrafted - handpoured - small batch - sitting bear,3,test,25.95,
2,Large Bowl Candle w/Lid - 3 wick candle - custom candle - unique candle - parasoy - soy blend - handcrafted - handpoured - small batch,2,test,25.5,
3,Grateful Thankful Blessed 3 candle set -Holiday candle set - custom candle set - parasoy blend - holiday gift - candles - 8oz jars,2,test,42,
4,Goat's milk lotion - Shea Butter - Vitamin E - Lotion- handcrafted - handpoured - small batch,1,test,5,
5,Room Sprays - 2oz Room & Linen Spray - Air Fresheners - Car Air Fresheners - Home Fragrances,4,test,6,
6,Pure Soy Candle- 8 oz jar - custom candle - unique candle -100% Soy - handcrafted - handpoured - small batch - mason jar - jelly jar,2,test,10,
7,2 Container candles - 2 x 8 oz jars - custom candle set - unique candles - parasoy - soy blend - handcrafted - handpoured - small batch,2,test,25,
8,Heart shaped candle - 3 wick candle - custom candle - glass bowl - parasoy - soy blend - handcrafted - handpoured - small batch,2,test,25,
9,Wax Melts - Wax Tarts - custom gift - unique gift - handcrafted - handpoured - small batch,5,test,6,
10,Kingz Candle- Matte Black - Frosted - 10oz jar - Bamboo - Luxury candle - Luxury Fragrance- Parasoy - Blended Wax - Long Burning,2,test,20,
11,Relax Candle,2,test,12,
12,Bare Skin Clamshell,1,test,5,
13,4oz Candle,2,test,4.5,
14,Psalm Candle,2,test,12,
15,Black Tie & Bourbon Candle,2,test,7.5,
